epoch;accuracy;loss;precision;recall;val_accuracy;val_loss;val_precision;val_recall
0;0.7795203924179077;0.3692445158958435;0.33133217692375183;0.020332282409071922;0.8057008981704712;0.3796077072620392;0.0;0.0
1;0.8529403209686279;0.26291483640670776;0.6880598068237305;0.5840286612510681;0.7736021876335144;0.44175219535827637;0.0944344699382782;0.01923339068889618
2;0.890267550945282;0.22936895489692688;0.704922616481781;0.8464078307151794;0.8762985467910767;0.23396556079387665;0.7162500023841858;0.6017248630523682
3;0.8940653800964355;0.2180837094783783;0.721534788608551;0.8300049304962158;0.8637905120849609;0.3653206527233124;0.8358319997787476;0.3720444440841675
4;0.8980991840362549;0.20840422809123993;0.7369866967201233;0.821535050868988;0.8224167823791504;0.7893494367599487;0.9527499675750732;0.09052092581987381
5;0.9083963632583618;0.19459642469882965;0.7785388827323914;0.8049752712249756;0.865950345993042;0.3024805784225464;0.8425673842430115;0.3813386857509613
6;0.9191232919692993;0.1781606376171112;0.8155511617660522;0.8085409998893738;0.8688929080963135;0.2544359564781189;0.7095086574554443;0.5507028698921204
7;0.9256560206413269;0.16721755266189575;0.8312040567398071;0.8230417370796204;0.837457537651062;0.515283465385437;0.9428836703300476;0.17398139834403992
8;0.9290108680725098;0.16285747289657593;0.8414269685745239;0.8273732662200928;0.9308875203132629;0.1614840030670166;0.7814450263977051;0.8944623470306396
9;0.9290469288825989;0.16026389598846436;0.8435016870498657;0.8245969414710999;0.8710985779762268;0.300404816865921;0.6103020310401917;0.9311573505401611
10;0.9292452335357666;0.15801866352558136;0.839043915271759;0.8321825265884399;0.8470475077629089;0.6010845899581909;0.8313466310501099;0.26695552468299866
11;0.9334636926651001;0.15228039026260376;0.8513511419296265;0.8384628295898438;0.9249258041381836;0.171267569065094;0.7560004591941833;0.9060402512550354
12;0.9344615936279297;0.1499568521976471;0.8518763184547424;0.8433220982551575;0.8762907981872559;0.24455128610134125;0.7300533056259155;0.576458215713501
13;0.934827983379364;0.14909562468528748;0.8525787591934204;0.844383180141449;0.9163376092910767;0.19183838367462158;0.8542242050170898;0.6865814924240112
14;0.9344993829727173;0.1495693176984787;0.8522217273712158;0.843034565448761;0.8845059871673584;0.23327428102493286;0.8679767847061157;0.47834497690200806
